machine_id,time_series_id,timestamp,target_value,temperature_unit,humidity,battery_level,location,status,received_at,metadata,image_desc_generation_output,image_url,observation_type
machine-09,sensor-01,2025-06-12 01:42:54.703441 UTC,33.01,C,34.99,71.09,floor-1,OK,2025-06-12 01:42:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-02,sensor-02,2025-06-12 11:12:54.703441 UTC,31.82,C,30.59,83.19,floor-1,OK,2025-06-12 11:12:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-06,sensor-05,2025-06-12 02:12:54.703441 UTC,29.89,C,58.35,82.36,floor-1,OK,2025-06-12 02:12:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-06,sensor-08,2025-06-12 10:52:54.703441 UTC,37.3,C,48.28,63,floor-1,OK,2025-06-12 10:52:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-09,sensor-04,2025-06-12 15:32:54.703441 UTC,36.83,C,79.6,76.13,floor-1,OK,2025-06-12 15:32:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-05,sensor-07,2025-06-12 08:42:54.703441 UTC,37.71,C,60.64,94.15,floor-1,OK,2025-06-12 08:42:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-02,sensor-07,2025-06-12 00:22:54.703441 UTC,25.43,C,30.98,99.89,floor-1,OK,2025-06-12 00:22:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-01,sensor-01,2025-06-12 08:42:54.703441 UTC,23.69,C,71.61,87.7,floor-1,OK,2025-06-12 08:42:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-09,sensor-02,2025-06-12 09:32:54.703441 UTC,36.38,C,56.63,90.11,floor-1,OK,2025-06-12 09:32:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-04,sensor-01,2025-06-12 04:02:54.703441 UTC,29.35,C,66.37,67.79,floor-1,OK,2025-06-12 04:02:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-10,sensor-02,2025-06-12 03:52:54.703441 UTC,26.5,C,74.98,79.76,floor-1,OK,2025-06-12 03:52:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-10,sensor-05,2025-06-12 02:52:54.703441 UTC,29.02,C,79.94,61.29,floor-1,OK,2025-06-12 02:52:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-02,sensor-06,2025-06-12 04:22:54.703441 UTC,27.88,C,66.24,79.83,floor-1,OK,2025-06-12 04:22:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-09,sensor-02,2025-06-12 13:52:54.703441 UTC,25.54,C,73.14,65.51,floor-1,OK,2025-06-12 13:52:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-03,sensor-02,2025-06-12 13:52:54.703441 UTC,22.68,C,70.29,78.89,floor-1,OK,2025-06-12 13:52:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-07,sensor-05,2025-06-12 02:22:54.703441 UTC,27.88,C,79.77,80.45,floor-1,OK,2025-06-12 02:22:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-03,sensor-06,2025-06-12 03:02:54.703441 UTC,31.86,C,75.4,87.25,floor-1,OK,2025-06-12 03:02:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-08,sensor-07,2025-06-12 17:02:54.703441 UTC,27,C,35.14,75.98,floor-1,OK,2025-06-12 17:02:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-08,sensor-09,2025-06-12 01:32:54.703441 UTC,32.72,C,68.88,71.41,floor-1,OK,2025-06-12 01:32:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-05,sensor-07,2025-06-12 14:42:54.703441 UTC,26.21,C,59.19,87.76,floor-1,OK,2025-06-12 14:42:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
machine-04,sensor-08,2025-06-12 08:42:54.703441 UTC,26.35,C,71.14,75.4,floor-1,OK,2025-06-12 08:42:54.703441 UTC,"{""firmware_version"":""v1.2.3"",""sensor_type"":""BME280""}",,,
